# Batch 5 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before	has_hero_frontmatter
2026-08-07-gpt-5-6-sol-improves-while-luna-becomes-the-default-free-lane	False	200	1	https://kenashe.ai/_astro/hero.uFySncz1.png	True
2026-08-07-heart-failure-feature-engineering-gets-an-agent-pipeline-not-a-chatbot	False	200	1	https://kenashe.ai/_astro/hero.CqxzS19S.png	True
2026-08-07-kimi-k3-shows-why-local-model-safety-is-now-operator-work	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-07-rag-for-table-heavy-reports-needs-search-you-can-audit	False	200	1	https://kenashe.ai/_astro/hero.BeNRDdgc.png	True
2026-08-07-recent-ai-domain-sales-are-a-distribution-signal-not-a-gold-rush	False	200	1	https://kenashe.ai/_astro/hero.D8xsgQBo.png	True
2026-08-07-selective-trust-why-rag-systems-should-learn-when-to-ignore-their-own-context	False	200	1	https://kenashe.ai/_astro/hero.Cvz0cJoq.png	True
2026-08-07-stopping-agent-evals-the-moment-the-evidence-lands	False	200	1	https://kenashe.ai/_astro/hero.CEcfMou4.png	True
2026-08-07-the-harness-is-the-product-what-harnessopt-bench-actually-measures	False	200	1	https://kenashe.ai/_astro/hero.DoAEqwCD.png	True
2026-08-08-ai-coding-cost-control-is-an-engineering-workflow-problem	False	200	1	https://kenashe.ai/_astro/hero.D9pXQom8.png	True
2026-08-08-ai-psychosis-belongs-in-the-workplace-ai-risk-register	False	200	1	https://kenashe.ai/_astro/hero.BoRDKOey.png	True
2026-08-08-ai-search-attribution-is-becoming-an-operating-problem	False	200	1	https://kenashe.ai/_astro/hero.DXvv_cfR.png	True
2026-08-08-kitesurf-and-the-browser-built-for-agents-not-humans	False	200	1	https://kenashe.ai/_astro/hero.-O8lrA8D.png	True
2026-08-08-openais-cyber-capability-warning-what-astras-evals-actually-say	False	200	1	https://kenashe.ai/_astro/hero.C7yLQ52z.png	True
2026-08-08-openais-reported-screenless-device-has-one-job-earn-room-level-trust	False	200	1	https://kenashe.ai/_astro/hero.DNzjMx05.png	True
2026-08-08-oracles-openjdk-ai-code-ban-is-really-about-provenance	False	200	1	https://kenashe.ai/_astro/hero.BqngNBaF.png	True
2026-08-08-the-does-genesis-initiative-a-federal-bet-on-open-models	False	200	1	https://kenashe.ai/_astro/hero.DGeLzM-f.png	True
2026-08-08-tutormoments-and-the-hard-part-of-ai-tutoring-knowing-when-not-to-answer	False	200	1	https://kenashe.ai/_astro/hero.DDLqKO6R.png	True
2026-08-08-when-workers-stop-believing-the-career-ladder-is-real	False	200	1	https://kenashe.ai/_astro/hero.BhO1sYXf.png	True
2026-08-09-a-rumored-96gb-rtx-5090-is-a-planning-signal-not-a-purchase-plan	False	200	1	https://kenashe.ai/_astro/hero.BVB2I0QN.png	True
2026-08-09-ai-replies-are-built-one-token-at-a-time	False	200	1	https://kenashe.ai/_astro/hero.InIlo7-F.png	True
2026-08-09-ai-scrapers-are-becoming-an-ops-problem-for-open-source	False	200	1	https://kenashe.ai/_astro/hero.DRX_Nw2q.png	True
2026-08-09-ai-security-review-is-hitting-bitcoin-repos-not-just-toy-code	False	200	1	https://kenashe.ai/_astro/hero.BM_cRJZP.png	True
2026-08-09-claudes-bluetooth-hint-is-the-right-kind-of-ai-assistance	False	200	1	https://kenashe.ai/_astro/hero.DaECgg0X.png	True
2026-08-09-fastmails-eu-data-region-is-a-signal-for-where-ai-data-has-to-live	False	200	1	https://kenashe.ai/_astro/hero.SGXbMoV-.png	True
2026-08-09-the-2011-link-that-died-on-schedule-and-what-it-says-about-agent-memory	False	200	1	https://kenashe.ai/_astro/hero.DHrhE8IH.png	True
2026-08-09-the-openai-and-hugging-face-incident-is-a-crawler-safety-story	False	200	1	https://kenashe.ai/_astro/hero.TqM77Q03.png	True
2026-08-09-weathernext-cyclone-forecasting-is-an-operations-story-not-a-demo-reel	False	200	1	https://kenashe.ai/_astro/hero.strVXrGu.png	True
2026-08-09-what-a-melatonin-cognition-study-tells-you-about-reading-health-headlines-with	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-10-ai-content-abundance-makes-trust-the-scarce-asset	False	200	1	https://kenashe.ai/_astro/hero.Ca-aTJJ3.png	True
2026-08-10-coinrag-and-the-case-for-caching-smaller-pieces-of-your-rag-context	False	200	1	https://kenashe.ai/_astro/hero.Bzt33_Sr.png	True
2026-08-10-diffusion-llms-inherit-the-same-brittle-safety-circuits	False	200	1	https://kenashe.ai/_astro/hero.C6tux8el.png	True
2026-08-10-geobenchllm-tests-whether-llms-understand-place	False	200	1	https://kenashe.ai/_astro/hero.BndVzL0j.png	True
2026-08-10-muon-groks-faster-then-the-readout-drifts	False	200	1	https://kenashe.ai/_astro/hero.MOyazq4x.png	True
2026-08-10-openais-reported-astra-pause-is-a-cyber-agent-warning	False	200	1	https://kenashe.ai/_astro/hero.DycR-9tg.png	True
2026-08-10-psychoagent-makes-memory-retrieval-less-purely-semantic	False	200	1	https://kenashe.ai/_astro/hero.BeKTjegE.png	True
2026-08-10-sabre-turns-vlm-evals-into-a-repeatable-stress-test-pipeline	False	200	1	https://kenashe.ai/_astro/hero.C8Er-QN_.png	True
2026-08-10-skillprox-and-the-case-for-agents-that-prune-their-own-playbooks	False	200	1	https://kenashe.ai/_astro/hero.1G4aM5xz.png	True
2026-08-10-the-alignment-tax-on-creativity-and-a-switch-to-turn-it-back-on	False	200	1	https://kenashe.ai/_astro/hero.DoxN3a_g.png	True
2026-08-11-ai-detectors-are-becoming-a-tax-on-honest-writing	False	200	1	https://kenashe.ai/_astro/hero.Q1Ku1lbp.png	True
2026-08-11-amies-video-consult-result-is-about-perception-not-replacement	False	200	1	https://kenashe.ai/_astro/hero.CrcqYAbf.png	True
2026-08-11-auto-research-agents-need-fuzzer-style-feedback	False	200	1	https://kenashe.ai/_astro/hero.Cx36f8hb.png	True
2026-08-11-bdh-cq-makes-arc-reasoning-cheaper-by-thinking-in-latent-space	False	200	1	https://kenashe.ai/_astro/hero.BHeo0oEA.png	True
2026-08-11-concise-answers-can-weaken-reasoning-in-fused-llm-training	False	200	1	https://kenashe.ai/_astro/hero.C6YOUx3B.png	True
2026-08-11-dutch-government-llms-need-trade-off-tables-not-model-rankings	False	200	1	https://kenashe.ai/_astro/hero.D_tW_AWZ.png	True
2026-08-11-mmdiff-finds-which-features-multimodal-training-actually-changed	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-11-riots-reported-anthropic-deal-is-a-power-story-not-a-bitcoin-story	False	200	1	https://kenashe.ai/_astro/hero.CeBjDRai.png	True
2026-08-11-the-state-of-advertising-and-product-discovery-inside-chatgpt	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-11-the-tts-score-that-hides-your-voice-models-real-problems	False	200	1	https://kenashe.ai/_astro/hero.Bdx3YPd9.png	True
2026-08-12-building-abuse-datasets-without-the-victims-what-convawg-actually-does	False	200	1	https://kenashe.ai/_astro/hero.0BHga_7O.png	True
2026-08-12-claude-md-bloat-is-a-memory-problem-not-a-prompt-problem	False	200	1	https://kenashe.ai/_astro/hero.lp9LdCe0.png	True
2026-08-12-consistency-checks-are-not-truth-checks-for-probabilistic-ai	False	200	1	https://kenashe.ai/_astro/hero.ifYaq8rh.png	True
2026-08-12-fragile-attention-paths-as-a-confidence-check-for-grounded-qa	False	200	1	https://kenashe.ai/_astro/hero.zFRyXJ_m.png	True
2026-08-12-gui-agents-that-learn-a-new-interface-after-deployment	False	200	1	https://kenashe.ai/_astro/hero.DvIZTO-H.png	True
2026-08-12-linkedins-ai-slop-report-button-is-a-warning-to-lazy-operators	False	200	1	https://kenashe.ai/_astro/hero.BXy-WCoU.png	True
2026-08-12-openais-exec-churn-is-now-a-platform-risk-story	False	200	1	https://kenashe.ai/_astro/hero.D_8Fi36S.png	True
2026-08-12-team-ais-reported-136-500-auction-and-the-naming-tax-on-ai-startups	False	200	1	https://kenashe.ai/_astro/hero.C1fRxxur.png	True
2026-08-12-torf-keeps-the-forecast-mean-while-modeling-the-mess-around-it	False	200	1	https://kenashe.ai/_astro/hero.d5iWgglo.png	True
2026-08-12-what-six-years-of-trustnlp-papers-say-about-where-ai-safety-research-actually	False	200	1	https://kenashe.ai/_astro/hero.CPJrTmWp.png	True
2026-08-13-a-strong-model-can-scaffold-a-weak-one-without-any-retraining	False	200	1	https://kenashe.ai/_astro/hero.-NXfCe1c.png	True
2026-08-13-ai-overviews-make-ctr-the-metric-to-watch	False	200	1	https://kenashe.ai/_astro/hero.BnioXEdl.png	True
2026-08-13-chatgpt-works-finance-demo-is-really-about-workflow-ownership	False	200	1	https://kenashe.ai/_astro/hero.7RGgCh3L.png	True
2026-08-13-olmoearth-embeddings-are-useful-if-they-survive-outside-the-studio	False	200	1	https://kenashe.ai/_astro/hero.BBi6cBvU.png	True
2026-08-13-rci-turns-stop-signals-into-safer-offline-rl-training-data	False	200	1	https://kenashe.ai/_astro/hero.CfaAbCEx.png	True
2026-08-13-ringcentrals-ai-native-work-story-is-really-about-the-handoff	False	200	1	https://kenashe.ai/_astro/hero.C4cMvwed.png	True
2026-08-13-the-bengali-gap-why-language-models-fail-before-they-train	False	200	1	https://kenashe.ai/_astro/hero.B-I9w0UN.png	True
2026-08-13-twitchs-default-ai-training-toggle-makes-consent-the-product-issue	False	200	1	https://kenashe.ai/_astro/hero.9YZ5dyQz.png	True
2026-08-13-vicbench-shows-vulnerability-detection-still-needs-humans	False	200	1	https://kenashe.ai/_astro/hero.BXyZXzZG.png	True
2026-08-13-when-your-user-simulator-is-secretly-one-person-simulator-collapse-in-multi	False	200	1	https://kenashe.ai/_astro/hero.Cuz2ngny.png	True
2026-08-14-a-5b-model-trained-only-on-grade-school-text-and-why-thats-a-real-research-tool	True	404	0	https://kenashe.ai/og-default.png	True
2026-08-14-a-ai-domain-dispute-shows-the-limit-of-trademark-gravity	False	200	1	https://kenashe.ai/_astro/hero.USI9wpJD.png	True
2026-08-14-alignment-baked-into-pretraining-not-bolted-on-later	False	200	1	https://kenashe.ai/_astro/hero.D3Q6itZI.png	True
