# Batch 2 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before
2026-07-05-claude-fable-5-browser-game-demos-are-really-coherence-tests	False	200	1	https://kenashe.ai/_astro/hero.DB6Fp3WS.png
2026-07-05-claude-mythos-preview-and-the-security-attention-spike	True	404	0	https://kenashe.ai/og-default.png
2026-07-05-minicpm5-1b-points-at-the-phone-sized-agent-layer	False	200	1	https://kenashe.ai/_astro/hero.B9brKNhe.png
2026-07-05-the-ai-job-diamond-still-needs-a-bottom-rung	False	200	1	https://kenashe.ai/_astro/hero.CX10SlhJ.png
2026-07-05-the-model-got-smarter-and-my-tool-got-dumber	False	200	1	https://kenashe.ai/_astro/hero.DDHh1QeM.png
2026-07-05-the-nasal-spray-brain-aging-story-needs-more-than-a-headline	True	404	0	https://kenashe.ai/og-default.png
2026-07-05-the-real-margin-problem-in-ai-music-side-hustles	False	200	1	https://kenashe.ai/_astro/hero.CLJovUfK.png
2026-07-05-the-reasoning-token-cluster-problem-nobody-priced-into-gpt-5-5-codex	True	404	0	https://kenashe.ai/og-default.png
2026-07-06-a-gpt-5-6-rumor-matters-only-if-codex-changes-with-it	False	200	1	https://kenashe.ai/_astro/hero.C9m3R8bC.png
2026-07-06-a-live-rail-map-is-a-better-ai-benchmark-than-another-chatbot-demo	True	404	0	https://kenashe.ai/og-default.png
2026-07-06-an-aviation-headline-in-the-ai-feed-is-a-pipeline-problem	False	200	1	https://kenashe.ai/_astro/hero.Bd8wnKnn.png
2026-07-06-canadas-ai-strategy-has-a-procurement-trust-problem	False	200	1	https://kenashe.ai/_astro/hero.DqlgAGDC.png
2026-07-06-clean-code-is-context-engineering-for-coding-agents	True	404	0	https://kenashe.ai/og-default.png
2026-07-06-hugging-face-kernels-the-case-for-shipping-gpu-code-like-python-packages	False	200	1	https://kenashe.ai/_astro/hero.CbiJ1GVY.png
2026-07-06-langchains-mistral-update-is-about-provenance-not-flash	False	200	1	https://kenashe.ai/_astro/hero.CAriBDtx.png
2026-07-06-langchains-openrouter-header-fix-is-a-production-clue	False	200	1	https://kenashe.ai/_astro/hero.CqsEFxoV.png
2026-07-06-lerobot-v0-6-0-turns-robot-simulation-into-a-feedback-loop	False	200	1	https://kenashe.ai/_astro/hero.C_9FGH5C.png
2026-07-06-what-hugging-faces-data-strategy-says-about-the-open-model-playbook	True	404	0	https://kenashe.ai/og-default.png
2026-07-07-camvla-treats-camera-placement-as-part-of-the-robot-policy	False	200	1	https://kenashe.ai/_astro/hero.BgQFjDyi.png
2026-07-07-gap-treats-robot-policies-as-editable-graphs	False	200	1	https://kenashe.ai/_astro/hero.DPAOVVqA.png
2026-07-07-hero-makes-llm-watermarks-less-all-or-nothing	False	200	1	https://kenashe.ai/_astro/hero.VFEaARUF.png
2026-07-07-real-bogus-astronomy-models-without-hand-labels	True	404	0	https://kenashe.ai/og-default.png
2026-07-07-reusing-rl-gains-across-model-sizes-the-case-for-direct-opd	False	200	1	https://kenashe.ai/_astro/hero.BvJbZnsG.png
2026-07-07-rocket-league-is-a-useful-stress-test-for-multiplayer-world-models	True	404	0	https://kenashe.ai/og-default.png
2026-07-07-speech-agents-need-timing-tests-not-just-cleaner-audio	False	200	1	https://kenashe.ai/_astro/hero.CbqSIgus.png
2026-07-07-the-coordinate-problem-hiding-inside-discrete-diffusion-models	False	200	1	https://kenashe.ai/_astro/hero.Dag55yr7.png
2026-07-07-timestamp-drift-is-the-quiet-asr-failure-that-breaks-real-workflows	False	200	1	https://kenashe.ai/_astro/hero.BqzSykao.png
2026-07-07-verification-as-a-scaling-axis-what-the-llm-as-a-verifier-paper-actually-changes	False	200	1	https://kenashe.ai/_astro/hero.CWps5znF.png
2026-07-08-ap-points-to-the-boring-ai-stack-for-payments-work	False	200	1	https://kenashe.ai/_astro/hero.BPMARtzz.png
2026-07-08-elsa3d-routes-language-to-the-right-3d-scale	False	200	1	https://kenashe.ai/_astro/hero.B5zwNuIB.png
2026-07-08-graph-attention-needs-the-graphs-spectrum-not-an-average-filter	False	200	1	https://kenashe.ai/_astro/hero.Cok1E6bc.png
2026-07-08-lca-treats-oncology-ai-as-plumbing-not-a-single-model	False	200	1	https://kenashe.ai/_astro/hero.DHrDAUNE.png
2026-07-08-long-context-kv-caches-are-getting-selective	False	200	1	https://kenashe.ai/_astro/hero.wH2r6h7M.png
2026-07-08-mufgs-ai-native-push-is-really-a-distribution-problem	False	200	1	https://kenashe.ai/_astro/hero.CUKhO8tA.png
2026-07-08-pitwall-treats-faithfulness-as-plumbing-not-a-prompt	True	404	0	https://kenashe.ai/og-default.png
2026-07-08-the-cultural-cost-of-building-ai-for-1-4-billion-people	False	200	1	https://kenashe.ai/_astro/hero.B0vfGRhq.png
2026-07-08-the-semantic-gap-nobody-talks-about-in-knowledge-graph-qa	False	200	1	https://kenashe.ai/_astro/hero.ClVB9bQk.png
2026-07-08-tpgs-chatgpt-rollout-targets-the-boring-costs-of-diligence	False	200	1	https://kenashe.ai/_astro/hero.DOPgGGec.png
2026-07-09-adaprefix-grpo-turns-hard-reasoning-failures-into-training-signal	False	200	1	https://kenashe.ai/_astro/hero.BNpFj6Ti.png
2026-07-09-agon-grades-the-reasoning-not-just-the-answer	False	200	1	https://kenashe.ai/_astro/hero.BerV1a6t.png
2026-07-09-aler-ti-brings-rag-shaped-memory-to-missing-sensor-data	False	200	1	https://kenashe.ai/_astro/hero.Ck-bEc9l.png
2026-07-09-co-lmlm-puts-facts-in-a-database-not-the-weights	False	200	1	https://kenashe.ai/_astro/hero.Cj_gvN_Y.png
2026-07-09-confidence-may-arrive-before-the-answer-finishes	False	200	1	https://kenashe.ai/_astro/hero.BJJ4liUA.png
2026-07-09-diallm-separates-dialect-understanding-from-dialect-writing	False	200	1	https://kenashe.ai/_astro/hero.B6LDvZIB.png
2026-07-09-diffusion-rlhf-gets-cheaper-when-training-stops-treating-every-denoising-step	True	404	0	https://kenashe.ai/og-default.png
2026-07-09-langchains-small-july-fixes-point-to-bigger-agent-runtime-problems	False	200	1	https://kenashe.ai/_astro/hero.CmQXDNOQ.png
2026-07-09-rl-post-training-as-procedure-compression-not-just-skill-amplification	False	200	1	https://kenashe.ai/_astro/hero.VsnSqAwB.png
2026-07-09-scireasoner-treats-molecular-structure-as-evidence-you-can-inspect	False	200	1	https://kenashe.ai/_astro/hero.CTeoWMEf.png
2026-07-10-deutsche-telekoms-50-containment-claim-unpacked	True	404	0	https://kenashe.ai/og-default.png
2026-07-10-the-annotation-trap-when-your-model-agrees-for-the-wrong-reasons	True	404	0	https://kenashe.ai/og-default.png
2026-07-10-the-price-war-nobody-put-on-a-slide	True	404	0	https://kenashe.ai/og-default.png
2026-07-11-connector-controls-are-where-enterprise-ai-gets-real	True	404	0	https://kenashe.ai/og-default.png
2026-07-11-leanstral-1-5-points-at-proofs-as-a-workflow-not-a-stunt	False	200	1	https://kenashe.ai/_astro/hero.Cm_Wh7Xw.png
2026-07-11-mistral-ocr-4-makes-document-ai-an-infrastructure-decision	False	200	1	https://kenashe.ai/_astro/hero.CULJhB7I.png
2026-07-11-mistral-studio-treats-prompts-like-code-and-thats-overdue	False	200	1	https://kenashe.ai/_astro/hero.CU4SuEL1.png
2026-07-11-mistrals-ai-now-summit-needs-enterprise-receipts-not-bigger-claims	False	200	1	https://kenashe.ai/_astro/hero.C61faPEH.png
2026-07-11-mistrals-physics-ai-pitch-is-really-about-faster-engineering-loops	True	404	0	https://kenashe.ai/og-default.png
2026-07-11-mistrals-robostral-navigate-bets-that-one-camera-is-enough	False	200	1	https://kenashe.ai/_astro/hero.D6M2iNdO.png
2026-07-11-mistrals-search-toolkit-points-at-the-real-rag-bottleneck	False	200	1	https://kenashe.ai/_astro/hero.8Ud8bfeY.png
2026-07-11-mistrals-vibe-puts-the-agent-inside-work-and-code	True	404	0	https://kenashe.ai/og-default.png
2026-07-11-what-stamplis-one-person-doing-four-peoples-work-claim-actually-shows	False	200	1	https://kenashe.ai/_astro/hero.eqcGe7p-.png
2026-07-11-where-gemini-3-5-pro-actually-has-to-prove-itself	True	404	0	https://kenashe.ai/og-default.png
2026-07-12-a-solo-pacific-row-headline-is-not-enough-for-an-ai-brief	True	404	0	https://kenashe.ai/og-default.png
2026-07-12-ai-design-tools-need-a-better-taste-test-than-clean	True	404	0	https://kenashe.ai/og-default.png
2026-07-12-ask-an-llm-is-not-an-answer-to-every-question	False	200	1	https://kenashe.ai/_astro/hero.BTe_Wywv.png
2026-07-12-ghost-font-is-a-privacy-idea-not-an-ai-firewall	False	200	1	https://kenashe.ai/_astro/hero.Bwg5PgFQ.png
2026-07-12-grok-builds-cli-and-the-telemetry-question-every-coding-agent-raises	True	404	0	https://kenashe.ai/og-default.png
2026-07-12-intelligence-is-still-not-the-product	False	200	1	https://kenashe.ai/_astro/hero.FGAFa8F3.png
2026-07-12-mesh-llm-makes-distributed-inference-a-networking-problem	False	200	1	https://kenashe.ai/_astro/hero.BejCqK3h.png
2026-07-12-same-prompt-app-builds-are-useful-but-not-enough	False	200	1	https://kenashe.ai/_astro/hero.Dp2GHOlR.png
2026-07-12-the-college-roi-rule-nobody-asked-ai-to-model-but-someone-will	True	404	0	https://kenashe.ai/og-default.png
2026-07-12-vllm-0-25-deletes-pagedattention-and-the-transformers-backend-catches-up	False	200	1	https://kenashe.ai/_astro/hero.DmyPOQ3k.png
2026-07-13-auctions-as-a-router-what-agora-gets-right-about-multi-model-agents	True	404	0	https://kenashe.ai/og-default.png
2026-07-13-chatgpt-onboarding-starts-with-a-real-task-not-a-perfect-prompt	False	200	1	https://kenashe.ai/_astro/hero.DTcO6O4l.png
2026-07-13-fraud-detection-needs-a-pareto-frontier-not-another-magic-score	False	200	1	https://kenashe.ai/_astro/hero.CFxOMasj.png
2026-07-13-idioms-cluster-by-concept-not-language-what-a-feature-graph-adds-to-embeddings	True	404	0	https://kenashe.ai/og-default.png
2026-07-13-iot-exploit-agents-are-getting-useful-in-controlled-labs	False	200	1	https://kenashe.ai/_astro/hero.BV8TfWor.png
2026-07-13-language-model-embeddings-do-not-want-to-collapse	False	200	1	https://kenashe.ai/_astro/hero.DydiFCae.png
2026-07-13-phinn-eegs-dream-detection-claim-is-a-proposal-not-a-result	False	200	1	https://kenashe.ai/_astro/hero.BPPFCbOi.png
2026-07-13-the-quizbowl-agent-that-won-by-knowing-when-to-shut-up	True	404	0	https://kenashe.ai/og-default.png
2026-07-13-vision-models-are-getting-the-scene-right-but-not-always-the-gaze	False	200	1	https://kenashe.ai/_astro/hero.wS6qDh1U.png
2026-07-13-visual-pretraining-is-a-bet-against-text-extraction	False	200	1	https://kenashe.ai/_astro/hero.CQQtOqav.png
2026-07-14-atl-saathi-puts-gemini-beside-indias-robotics-teachers	False	200	1	https://kenashe.ai/_astro/hero.CI5ypp4j.png
2026-07-14-chatgpt-works-real-pitch-is-templated-outputs-not-a-smarter-model	False	200	1	https://kenashe.ai/_astro/hero.D0DonWEy.png
