# Batch 3 post status before migration (2026-09-18)
# slug	draft	http_before	in_sitemap	og_image_before
2026-07-20-open-weight-llms-can-structure-vehicle-cves-but-relationships-still-break	False	200	1	https://kenashe.ai/_astro/hero.QXths4vU.png
2026-07-20-sarcasm-detection-needs-the-mismatch-not-just-the-meme	False	200	1	https://kenashe.ai/_astro/hero.Dz_zioOM.png
2026-07-20-teaching-a-model-to-zoom-in-on-a-chart-before-it-judges-a-claim	False	200	1	https://kenashe.ai/_astro/hero.BqKZqRKE.png
2026-07-20-the-96-percent-gap-why-frontier-models-can-look-but-not-observe	True	404	0	https://kenashe.ai/og-default.png
2026-07-21-alignment-tuning-may-be-teaching-models-to-agree-with-bad-cues	True	404	0	https://kenashe.ai/og-default.png
2026-07-21-can-a-language-model-reason-in-3d-the-3d-fit-benchmark-says-sort-of	False	200	1	https://kenashe.ai/_astro/hero.CMErwSNI.png
2026-07-21-diff-logic-eeg-models-trade-neural-math-for-boolean-circuits	True	404	0	https://kenashe.ai/og-default.png
2026-07-21-digital-twins-need-a-promotion-gate-not-just-retraining	True	404	0	https://kenashe.ai/og-default.png
2026-07-21-long-horizon-models-need-process-safety-not-just-answer-safety	True	404	0	https://kenashe.ai/og-default.png
2026-07-21-no-best-harness-automated-discovery-systems-fail-to-generalize	False	200	1	https://kenashe.ai/_astro/hero.orDELItP.png
2026-07-21-o-vad-treats-factory-video-anomalies-as-object-histories	False	200	1	https://kenashe.ai/_astro/hero.B3IrpasU.png
2026-07-21-output-reset-makes-ppo-smoother-not-automatically-better	False	200	1	https://kenashe.ai/_astro/hero.DKDOlY-Q.png
2026-07-21-ppl-factory-makes-the-case-for-smaller-fine-tuning-sets	False	200	1	https://kenashe.ai/_astro/hero.B49JSecc.png
2026-07-21-soft-prefixes-can-flip-a-models-correct-logic-90-of-the-time	True	404	0	https://kenashe.ai/og-default.png
2026-07-22-gemini-3-5-flash-cyber-puts-a-smaller-model-on-vulnerability-work	False	200	1	https://kenashe.ai/_astro/hero.CT6833_l.png
2026-07-22-geminis-flash-tier-splits-into-three-and-the-names-are-the-story	True	404	0	https://kenashe.ai/og-default.png
2026-07-22-googles-40m-genesis-mission-bet-is-compute-not-a-check	False	200	1	https://kenashe.ai/_astro/hero.v0usDLiN.png
2026-07-22-openai-adds-finance-governance-weight-to-both-boards	False	200	1	https://kenashe.ai/_astro/hero.cOVDbU16.png
2026-07-22-openai-presence-puts-enterprise-agents-in-the-operations-lane	True	404	0	https://kenashe.ai/og-default.png
2026-07-22-openais-effingham-county-datacenter-and-the-local-math-that-decides-its-fate	False	200	1	https://kenashe.ai/_astro/hero.DPoeaZrD.png
2026-07-22-openais-small-business-push-is-really-a-workflow-bet	False	200	1	https://kenashe.ai/_astro/hero.COZygRHF.png
2026-07-22-simulation-is-becoming-the-build-system-for-physical-ai	False	200	1	https://kenashe.ai/_astro/hero.DJQ8NOgG.png
2026-07-22-when-a-model-eval-turns-into-an-actual-breach	False	200	1	https://kenashe.ai/_astro/hero.BTkOOHc9.png
2026-07-23-agentic-ai-needs-payment-controls-before-altcoin-narratives	False	200	1	https://kenashe.ai/_astro/hero.C_iC_7tc.png
2026-07-23-ai-books-win-amazon-by-volume-not-quality-what-the-slop-data-shows	False	200	1	https://kenashe.ai/_astro/hero.yQsXoCu5.png
2026-07-23-lora-patches-may-outlive-the-base-model-update	False	200	1	https://kenashe.ai/_astro/hero.BicU04p_.png
2026-07-23-maskability-index-makes-prompt-choice-less-vibes-based	False	200	1	https://kenashe.ai/_astro/hero.CjiGE8Po.png
2026-07-23-potre-makes-the-case-for-heterogeneous-test-time-reasoning	False	200	1	https://kenashe.ai/_astro/hero.BoBKLXdH.png
2026-07-23-runway-ai-bought-the-front-door	False	200	1	https://kenashe.ai/_astro/hero.PQxajEiL.png
2026-07-23-safety-bounds-are-becoming-probabilities-not-vibes	False	200	1	https://kenashe.ai/_astro/hero.BezYiAu1.png
2026-07-23-the-hugging-face-agent-incident-was-a-benchmark-failure-not-sci-fi-escape	True	404	0	https://kenashe.ai/og-default.png
2026-07-23-the-reconstruction-test-grades-vibes-not-facts-reading-the-recap-paper-on	False	200	1	https://kenashe.ai/_astro/hero.xL_mB0PI.png
2026-07-23-what-actually-makes-medical-image-encoders-interoperable	False	200	1	https://kenashe.ai/_astro/hero.BLVB9_53.png
2026-07-24-barzilai-borweins-superlinear-convergence-problem	False	200	1	https://kenashe.ai/_astro/hero.Co9sFRyS.png
2026-07-24-gs-agent-builds-4d-worlds-by-driving-a-physics-engine-not-replacing-it	False	200	1	https://kenashe.ai/_astro/hero.DzoD1Xu_.png
2026-07-24-langchains-gateway-env-var-is-production-plumbing	False	200	1	https://kenashe.ai/_astro/hero.ChtiWSQO.png
